タイトル,プレイスタイル,譜面モード,難易度,MINBPM,MAXBPM,S,1,2,3,4,5,6,7,TOTALNOTES,ソフラン回数,乱打,同時,階段,トリ,縦連,皿,CN,PLAYTIME
ユミル,SP,ANOTHER,11,164,164,78,234,157,187,203,201,190,184,1434,0,28.0,19.9,41.8,7.4,12.2,7.0,0.0,115.97
Beastie Starter,SP,ANOTHER,11,190,190,90,251,97,174,128,122,90,169,1121,0,9.4,9.1,28.2,57.4,26.3,10.7,0.0,106.1
CONCEPTUAL,SP,ANOTHER,11,198,198,69,287,148,173,177,211,177,149,1391,0,24.3,29.0,28.8,12.9,8.4,6.1,0.0,110.15
Cookie Bouquets,SP,ANOTHER,11,205,205,79,299,214,259,216,230,190,227,1714,0,12.1,53.7,12.1,2.4,5.8,6.4,0.0,123.95
examination leave,SP,ANOTHER,11,180,180,46,315,224,240,234,230,206,217,1712,0,15.4,73.7,28.2,4.5,7.7,2.8,0.0,106.83
FLOWER,SP,ANOTHER,11,173,173,89,225,163,194,201,209,221,158,1460,0,25.9,19.7,39.7,12.0,3.7,8.2,17.2,119.13
Illegal Function Call,SP,ANOTHER,11,260,260,60,268,153,197,207,187,172,154,1398,0,33.2,2.2,58.1,25.8,32.3,4.5,0.0,119.46
Light and Cyber…,SP,ANOTHER,11,181,181,50,233,186,225,239,220,208,218,1579,0,44.0,16.2,44.9,2.0,3.6,4.1,0.0,117.34
New Decade IIDX Edition,SP,ANOTHER,11,200,200,129,268,146,198,210,200,175,213,1539,0,20.5,30.7,24.4,11.9,8.8,13.5,0.0,111.6
rumrum triplets,SP,ANOTHER,11,192,192,63,264,206,215,208,207,200,178,1541,0,25.3,22.8,37.5,4.5,4.2,5.0,0.0,123.59
S!ck,SP,ANOTHER,11,177,177,140,220,146,185,187,168,164,163,1373,0,25.9,17.8,30.0,12.2,2.8,13.1,4.1,119.32
Saturn,SP,ANOTHER,11,155,155,32,233,155,229,202,230,170,81,1332,0,30.2,16.1,40.5,5.6,23.9,3.1,0.0,107.22
Synergy For Angels,SP,ANOTHER,11,160,160,48,242,157,197,161,220,187,188,1400,0,36.4,13.8,47.2,15.3,1.7,4.5,0.0,110.75
Take My Life,SP,ANOTHER,11,175,175,54,304,174,192,190,193,204,176,1487,0,30.4,14.1,54.3,7.8,2.9,4.6,0.0,115.2
VALLIS-NERIA,SP,ANOTHER,11,185,185,85,261,156,209,214,215,169,198,1507,0,13.4,44.8,16.6,0.9,16.6,6.5,46.8,126.81
VEGA,SP,ANOTHER,11,191,191,98,306,174,211,179,217,204,195,1584,0,23.6,39.0,26.3,11.1,6.7,9.3,0.8,117.8
ZED,SP,ANOTHER,11,190,190,36,244,170,197,209,208,169,172,1405,0,27.9,19.1,43.6,5.7,7.0,3.3,0.0,121.18
405nm (Ryu☆mix),SP,ANOTHER,11,177,177,43,216,140,179,185,185,156,197,1301,0,29.3,25.9,33.6,22.9,4.5,4.1,0.0,105.76
カジノファイヤーことみちゃん,SP,ANOTHER,11,230,230,242,167,125,157,159,170,139,112,1271,0,4.8,31.8,16.8,0.0,2.4,27.9,6.2,110.08
龍と少女とデコヒーレンス,SP,ANOTHER,11,165,165,42,227,196,215,208,235,211,181,1515,0,40.5,1.7,69.7,16.4,3.5,3.4,0.0,119.27
創世ノート,SP,ANOTHER,11,200,200,87,195,161,192,197,229,205,246,1512,0,19.5,27.9,30.1,8.8,11.7,7.4,0.0,117.45
朧†,SP,ANOTHER,11,149,149,68,178,134,186,177,199,169,169,1280,0,24.2,23.9,38.3,8.1,4.7,5.8,0.0,115.77
仮想空間の旅人たち,SP,ANOTHER,11,151,151,27,234,178,191,227,191,168,234,1450,0,32.1,15.7,50.6,12.7,4.3,2.4,0.0,122.38
ALBA -黎明-,SP,ANOTHER,11,165,165,89,256,195,213,231,230,215,202,1631,0,24.7,37.2,38.9,10.3,1.7,5.8,16.8,120.63
Atröpøs,SP,ANOTHER,11,182,182,128,151,162,187,109,173,175,116,1201,0,28.0,13.4,28.0,18.6,2.0,13.3,0.0,111.42
BRAINSTORM,SP,ANOTHER,11,180,180,188,263,121,189,165,186,163,174,1449,0,19.1,22.4,29.6,13.9,5.5,25.0,0.0,122.29
Cleopatrysm,SP,ANOTHER,11,190,190,90,177,176,194,190,198,156,145,1326,0,20.7,24.3,29.3,12.4,4.7,9.3,0.0,113.36
Critical Crystal,SP,ANOTHER,11,191,191,108,247,171,198,181,189,176,225,1495,0,7.0,49.7,23.9,29.4,13.2,15.6,16.8,111.04
Dark Fall,SP,ANOTHER,11,202,202,80,178,206,180,225,158,219,170,1416,0,26.4,11.2,50.7,1.1,0.9,9.2,26.9,113.91
Devilz Sacrifice -贖罪の羊-,SP,ANOTHER,11,175,175,55,229,182,162,184,174,143,136,1265,0,19.2,22.2,39.9,20.3,12.1,4.7,10.5,104.37
diagram,SP,ANOTHER,11,112,112,130,175,183,184,200,217,217,155,1461,0,18.1,8.0,39.7,22.2,79.7,13.6,0.0,123.75
Elektrick U-Phoria,SP,ANOTHER,11,180,180,108,246,174,219,211,219,187,202,1566,0,19.5,32.8,31.1,15.0,3.9,8.1,0.0,118.58
Engraved Mark,SP,ANOTHER,11,188,188,141,215,94,198,149,194,124,107,1222,0,17.9,16.5,22.2,24.3,8.2,16.7,0.0,107.87
EXTREME MACH COLLIDER,SP,ANOTHER,11,148,148,120,229,120,200,176,157,120,183,1305,0,28.6,3.6,61.4,12.4,1.4,10.4,4.9,116.55
Funny shuffle,SP,ANOTHER,11,115,115,131,143,123,183,149,187,169,114,1199,0,12.9,22.9,35.3,26.4,36.0,21.3,0.0,101.3
HYENA,SP,ANOTHER,11,178,178,124,176,171,188,201,221,175,178,1434,0,33.0,15.6,37.5,23.3,4.2,9.8,0.0,115.95
I will be back -オレは帰ってきた-,SP,ANOTHER,11,172,172,42,217,175,236,221,235,187,179,1492,0,32.9,28.1,48.7,13.1,3.4,3.1,7.0,105.0
Insane Techniques,SP,ANOTHER,11,146,146,173,176,144,165,140,163,156,146,1263,0,22.1,16.2,33.9,9.6,5.6,23.2,0.0,121.64
KHAMEN BREAK,SP,ANOTHER,11,180,180,111,190,142,200,155,205,145,133,1281,0,21.9,18.9,30.5,12.2,4.7,8.7,2.4,126.66
LA FESTA LA VITA!!,SP,ANOTHER,11,180,180,221,211,138,192,110,180,138,271,1461,0,14.8,39.0,9.5,5.0,14.0,21.9,0.0,122.33
Lighting Shower,SP,ANOTHER,11,162,162,78,226,121,172,164,168,168,123,1220,0,31.3,11.2,45.9,14.1,5.3,7.2,0.0,98.05
m1dy Deluxe,SP,ANOTHER,11,205,205,155,272,100,148,188,170,115,194,1342,0,36.1,7.3,17.3,9.2,38.1,19.6,0.0,117.07
MAGIC & LOVE,SP,ANOTHER,11,185,185,118,283,133,198,177,225,167,180,1481,0,17.1,34.3,21.8,13.7,17.7,8.8,0.0,112.86
Overload Frontier,SP,ANOTHER,11,175,175,237,210,139,157,130,185,136,142,1336,0,17.8,15.8,22.9,2.3,8.3,25.0,0.0,119.82
Pharaoh,SP,ANOTHER,11,180,180,97,148,138,169,188,194,161,147,1242,0,18.4,37.3,25.2,5.2,3.1,8.5,0.0,97.0
rainbow guitar weeps,SP,ANOTHER,11,156,156,25,253,163,154,157,249,229,176,1406,0,28.8,17.8,48.1,28.1,5.6,1.7,0.0,116.73
refractive index,SP,ANOTHER,11,154,154,63,219,139,173,191,209,197,169,1360,0,34.6,9.8,50.0,6.3,14.3,5.5,0.0,112.11
SCHWARZSCHILD FIELD,SP,ANOTHER,11,150,150,131,201,103,182,96,190,130,199,1232,0,33.6,7.9,40.0,15.0,27.7,17.7,0.0,100.8
Smug Face -どうだ、オレの生き様は- (ONLY ONE EDITION),SP,ANOTHER,11,162,162,45,275,138,192,159,180,155,190,1334,0,42.3,8.8,41.8,17.8,8.2,4.0,8.6,119.25
Squeeze,SP,ANOTHER,11,173,173,69,213,142,160,160,171,201,141,1257,0,21.6,17.2,44.5,13.2,6.2,7.1,0.0,102.57
THE DETONATOR,SP,ANOTHER,11,173,173,138,345,104,218,179,235,135,282,1636,0,15.6,39.0,22.6,7.2,15.6,9.5,0.0,136.25
Unicorn tail,SP,ANOTHER,11,170,170,54,299,197,272,200,217,193,173,1605,0,20.0,29.1,35.4,12.4,5.9,5.3,0.0,132.7
Valgus,SP,ANOTHER,11,175,175,123,244,107,163,126,167,130,146,1206,0,14.5,36.9,20.5,6.2,15.0,12.1,0.0,119.65
VOX UP,SP,HYPER,11,202,202,207,327,106,205,197,146,166,119,1473,0,2.8,23.5,21.8,35.5,22.1,22.6,0.0,121.18
Wonder Girl feat. Kanae Asaba,SP,ANOTHER,11,160,160,54,232,171,213,179,207,168,190,1414,0,25.4,29.0,35.3,14.4,8.8,4.8,0.0,114.37
ÆTHER,SP,ANOTHER,11,192,192,144,328,90,193,153,199,164,169,1440,0,21.6,19.8,27.3,5.1,10.8,14.8,0.0,113.75
牧神笛吹きて,SP,ANOTHER,11,157,157,43,190,116,139,153,166,132,105,1044,0,20.8,11.2,46.8,10.1,1.9,4.4,0.0,115.89
バンブーソード・ガール,SP,ANOTHER,11,208,208,137,171,157,186,193,192,126,99,1261,0,16.9,9.0,37.6,7.4,7.2,14.8,0.0,109.9
デッドボヲルdeホームラン,SP,ANOTHER,11,145,145,107,191,173,194,197,206,173,176,1417,0,19.0,36.1,39.1,17.2,12.4,9.1,0.0,105.1
IX,SP,HYPER,11,198,198,70,202,148,178,175,201,126,147,1247,0,18.3,18.3,33.0,8.5,6.2,6.3,9.0,118.63
御千手メディテーション,SP,ANOTHER,11,150,190,199,118,135,163,157,182,128,88,1170,2,21.0,4.7,35.0,19.8,2.5,24.9,0.0,115.84
AFRO KNUCKLE,SP,ANOTHER,11,145,145,99,286,114,143,122,183,118,161,1226,0,20.4,24.0,17.8,2.3,34.5,12.7,0.0,120.31
Amnolys,SP,ANOTHER,11,140,180,54,193,183,188,191,197,180,168,1354,2,16.9,38.5,30.4,7.6,7.6,5.0,0.0,117.03
Beyond The Earth,SP,ANOTHER,11,140,140,132,269,263,171,180,193,238,200,1646,0,28.5,22.1,45.6,19.7,12.2,11.8,0.0,131.57
Blaze it UP!,SP,ANOTHER,11,175,175,110,208,186,210,184,212,193,198,1501,0,16.9,44.6,18.4,4.4,3.8,9.3,8.9,122.65
CHRONO DIVER -NORNIR-,SP,ANOTHER,11,185,185,49,236,224,214,187,219,214,225,1568,0,17.8,36.8,29.0,18.9,12.1,3.2,0.0,115.78
Chrono Diver -PENDULUMs-,SP,HYPER,11,196,196,67,165,215,215,231,217,182,130,1422,0,23.0,23.5,30.8,11.9,12.7,5.0,0.0,118.77
Chronos,SP,ANOTHER,11,128,128,92,180,153,170,159,151,167,133,1205,0,19.5,11.6,44.1,33.9,14.9,10.5,35.9,110.59
COLOSSEUM,SP,ANOTHER,11,140,140,53,169,144,170,160,174,156,133,1159,0,26.0,12.5,47.2,23.3,37.1,6.3,0.0,101.14
Cosmic Cat,SP,ANOTHER,11,160,160,99,187,135,169,167,157,125,127,1166,0,18.3,20.6,32.6,4.9,1.8,10.4,0.0,119.9
Discloze,SP,ANOTHER,11,128,145,99,220,128,203,174,199,151,191,1365,4,23.6,19.4,46.2,18.0,7.0,9.5,7.4,115.46
Erosion Mark,SP,ANOTHER,11,192,192,75,238,166,118,137,129,104,129,1096,0,12.1,21.9,10.8,3.6,10.1,7.6,0.0,108.75
HELL SCAPER -Last Escape Remix-,SP,ANOTHER,11,180,180,156,285,91,243,147,218,157,161,1458,0,11.6,40.7,12.8,14.8,20.0,17.7,0.0,129.33
Hello Happiness,SP,ANOTHER,11,182,182,146,227,117,152,118,156,158,124,1198,0,21.0,18.6,23.7,6.6,12.9,17.5,0.0,100.21
Line 4 Ruin,SP,ANOTHER,11,141,141,51,190,205,200,203,200,184,169,1402,0,32.8,19.4,49.7,13.6,1.9,5.1,0.0,110.21
m1dy Festival,SP,ANOTHER,11,225,225,149,188,168,155,211,131,153,134,1289,0,22.3,12.3,25.9,2.2,4.5,18.1,0.0,120.26
Night sky,SP,ANOTHER,11,192,192,90,252,190,195,163,236,173,192,1491,0,37.7,24.1,16.2,4.6,14.0,8.9,19.4,119.92
No Tears,SP,ANOTHER,11,170,170,49,264,149,159,201,163,147,154,1286,0,14.0,44.3,25.3,6.1,10.7,4.5,0.0,119.29
PENDUAL TALISMAN,SP,ANOTHER,11,150,160,60,221,126,173,192,202,152,188,1314,2,13.8,42.6,21.5,3.0,7.1,4.7,5.5,116.8
Rave Saves You feat. Cardz (Exclusive IIDX Mix),SP,ANOTHER,11,143,143,140,179,108,186,132,169,131,125,1170,0,18.2,27.3,19.1,7.1,9.6,17.6,0.0,119.79
Realize Maze,SP,ANOTHER,11,149,149,72,232,134,222,202,236,191,214,1503,0,25.7,24.9,38.1,13.9,24.5,5.6,0.0,124.63
Sakura Mirage,SP,ANOTHER,11,187,187,106,216,118,181,163,191,136,79,1190,0,27.5,16.3,24.2,4.9,16.4,9.3,8.6,101.39
Scarlet Moon,SP,ANOTHER,11,180,180,84,284,107,201,225,184,165,139,1389,0,22.7,25.4,39.6,5.9,5.6,7.0,16.5,107.83
Scars of FAUNA,SP,ANOTHER,11,165,165,16,232,193,196,223,238,177,200,1475,0,14.7,49.3,22.9,6.1,12.1,1.1,44.2,116.36
Vulkan,SP,ANOTHER,11,205,205,45,229,191,221,211,218,189,214,1518,0,18.7,44.0,19.3,9.7,3.0,3.8,0.0,112.39
打打打打打打打打打打,SP,ANOTHER,11,156,156,50,240,142,191,176,206,138,199,1342,0,11.1,38.4,25.2,10.9,82.4,5.1,5.8,101.15
ドッキン☆サマーあばんちゅーる,SP,ANOTHER,11,180,180,157,253,151,179,204,181,153,169,1447,0,12.8,39.5,22.1,24.7,10.4,16.8,0.0,117.66
全力 SPECIAL VACATION!! ～限りある休日～,SP,ANOTHER,11,170,170,64,241,60,171,141,179,172,114,1142,0,23.6,20.5,35.8,5.1,2.3,6.0,0.0,110.11
時空トラベローグ,SP,ANOTHER,11,234,234,55,284,126,212,188,219,158,153,1395,0,14.9,26.9,25.7,10.7,12.6,4.3,0.0,119.0
恋は白帯、サンシロー†,SP,ANOTHER,11,175,175,73,287,140,194,182,178,165,176,1395,0,8.8,57.8,16.3,4.8,11.4,5.2,1.2,117.94
もっと!モット!ときめき feat.松下,SP,ANOTHER,11,185,185,149,293,136,146,172,215,184,129,1424,0,26.2,4.4,35.4,13.6,7.1,12.5,0.8,125.83
鬼天,SP,ANOTHER,11,161,161,39,225,145,173,214,169,169,131,1265,0,26.6,15.3,33.2,28.4,23.9,3.5,28.2,104.53
パ→ピ→プ→Yeah!,SP,ANOTHER,11,160,160,27,244,178,144,187,186,172,142,1280,0,27.6,46.3,21.0,9.8,8.9,2.3,26.4,103.5
ぷろぐれっしぶ時空少女!うらしまたろ子ちゃん!,SP,ANOTHER,11,175,175,111,197,134,190,206,188,140,119,1285,0,14.5,33.7,30.0,4.1,1.1,9.2,0.0,113.02
#The_Relentless,SP,ANOTHER,11,170,170,105,262,162,215,188,215,176,156,1479,0,33.6,19.0,26.1,10.0,9.6,10.3,1.1,124.23
とろぴかる倶楽部,SP,ANOTHER,11,120,120,245,156,77,159,123,151,99,144,1154,0,20.1,14.7,27.7,5.4,9.7,32.0,0.0,105.25
超青少年ノ為ノ超多幸ナ超古典的超舞曲,SP,ANOTHER,11,150,150,10,185,188,242,229,190,149,157,1350,0,23.1,14.1,60.0,43.4,21.8,1.0,0.0,118.0
Ｘ↑Ｘ↓,SP,ANOTHER,11,172,172,86,233,155,216,175,233,167,220,1485,0,22.2,33.6,33.8,31.3,11.1,5.7,0.0,123.13
Acid Pumper,SP,ANOTHER,11,150,150,73,180,130,213,160,175,150,186,1267,0,29.3,11.6,37.5,17.8,5.3,9.7,60.5,115.0
Angelic Jelly,SP,ANOTHER,11,200,200,82,288,92,213,161,234,146,203,1419,0,16.4,28.0,28.9,30.5,21.5,8.5,0.0,113.85
Aublia,SP,ANOTHER,11,156,156,59,202,162,201,192,206,156,121,1299,0,26.4,12.4,42.4,16.6,6.9,6.1,17.1,117.5
Battle Train -IIDX Edition-,SP,ANOTHER,11,160,160,44,324,208,219,251,250,191,200,1687,0,39.2,3.7,58.7,31.0,26.3,3.4,0.0,121.5
chaos eater -IIDX edition-,SP,ANOTHER,11,210,210,102,243,84,247,144,245,107,156,1328,0,7.1,33.6,15.3,2.9,30.5,8.7,0.0,107.42
Daily Lunch Special,SP,ANOTHER,11,205,205,71,297,169,212,203,199,186,157,1494,0,4.0,45.0,11.8,3.1,10.9,6.4,25.6,123.07
Derelict Star feat. Ryu*,SP,ANOTHER,11,150,150,112,212,193,143,166,172,160,178,1336,0,17.4,32.0,28.5,14.4,7.4,11.8,21.9,115.2
GET READY!!,SP,ANOTHER,11,88,175,85,224,152,184,193,179,197,151,1365,3,26.9,27.5,28.7,6.4,12.9,8.1,19.1,120.56
GOBBLE,SP,ANOTHER,11,160,160,48,163,120,99,117,125,98,96,866,0,28.2,8.5,32.0,13.2,12.5,4.4,0.0,77.81
Inner Spirit,SP,ANOTHER,11,146,146,122,240,168,200,213,181,189,145,1458,0,29.7,9.0,52.4,24.5,23.7,13.9,0.0,118.76
m1dy Dynamic,SP,ANOTHER,11,185,185,95,183,144,164,171,183,138,101,1179,0,16.8,17.6,21.5,14.9,19.3,10.9,17.1,118.7
On the FM,SP,ANOTHER,11,200,200,177,241,162,162,136,186,161,194,1419,0,18.2,42.9,22.4,7.6,12.6,17.9,3.9,100.5
Outbreak,SP,ANOTHER,11,195,195,138,279,163,202,190,208,190,153,1523,0,19.7,43.3,13.3,11.7,7.0,14.2,0.0,118.15
Ride To The Core,SP,ANOTHER,11,240,240,78,291,93,160,189,207,140,151,1309,0,4.0,33.1,9.9,2.2,3.0,8.5,0.0,112.0
Rock It,SP,ANOTHER,11,170,170,59,261,190,222,175,202,164,227,1500,0,34.6,11.0,52.8,29.8,3.1,4.4,0.0,115.41
Routing,SP,ANOTHER,11,144,144,195,251,163,167,186,136,140,85,1323,0,19.4,31.6,24.9,7.8,13.2,32.0,0.0,111.56
SEITEN NO TERIYAKI,SP,ANOTHER,11,273,273,87,256,97,163,145,149,131,135,1163,0,29.4,17.9,31.8,12.5,13.9,8.3,0.0,107.03
SHELTER OF THE MIND,SP,ANOTHER,11,185,185,83,312,159,217,233,249,161,124,1538,0,13.6,22.7,28.0,12.3,21.8,5.8,0.0,129.56
STARLiGHT,SP,ANOTHER,11,199,199,165,192,152,192,189,187,157,179,1413,0,9.2,40.1,8.6,8.8,9.6,19.4,0.0,123.01
STARLIGHT DANCEHALL,SP,ANOTHER,11,177,177,147,214,152,176,190,183,159,121,1342,0,10.6,45.0,14.8,5.5,2.9,21.8,0.0,109.83
Uh-Oh,SP,ANOTHER,11,175,175,284,166,89,192,144,148,85,120,1228,0,12.4,24.4,15.0,1.5,3.4,37.6,0.0,120.68
Violet Rose,SP,ANOTHER,11,152,152,44,301,125,200,168,194,184,117,1333,0,25.8,20.4,39.5,11.6,31.2,3.5,0.0,103.42
Welcome,SP,ANOTHER,11,170,170,166,260,92,196,155,190,138,160,1357,0,24.6,25.9,30.9,5.1,4.4,17.3,0.0,120.0
ZEPHYRANTHES,SP,ANOTHER,11,180,180,61,262,133,257,164,259,159,204,1499,0,38.0,11.0,47.6,16.9,6.0,6.2,0.0,120.0
朝焼けから始まるボクらの小さな旅,SP,ANOTHER,11,100,218,62,237,133,190,180,213,150,133,1298,3,11.0,24.2,19.9,31.3,41.6,5.2,2.1,114.89
炸裂！イェーガー電光チョップ!! (JAEGER FINAL ATTACK),SP,ANOTHER,11,159,159,96,312,185,162,120,159,119,159,1312,0,20.6,21.1,37.4,10.6,41.7,9.4,0.0,108.67
か・し・ま・し☆PUMP UP！,SP,ANOTHER,11,175,175,172,375,126,179,160,174,155,112,1453,0,18.4,16.6,33.6,9.8,12.9,15.5,0.0,121.71
量子の海のリントヴルム,SP,ANOTHER,11,280,280,46,222,214,224,245,236,197,124,1508,0,30.7,2.9,69.5,30.0,21.2,3.0,16.9,106.48
明鏡止水,SP,ANOTHER,11,208,290,42,242,195,205,195,211,202,151,1443,6,23.0,36.9,34.4,9.2,4.2,3.5,0.0,121.27
セロトニン,SP,ANOTHER,11,150,150,75,242,101,159,161,158,138,160,1194,0,25.9,15.4,32.4,10.3,13.4,9.9,9.8,115.2
灼熱 Pt.2 Long Train Running,SP,HYPER,11,165,165,505,83,70,103,84,118,53,77,1093,0,8.9,13.4,3.4,10.6,1.7,86.7,2.5,119.09
追想快晴テーマパーク,SP,ANOTHER,11,170,170,57,273,177,234,214,247,205,182,1589,0,22.5,33.2,41.4,5.0,22.0,4.2,0.0,119.29
太陽SUNSUNボンジュールアバンチュール,SP,ANOTHER,11,140,140,69,275,139,192,209,192,165,161,1402,0,21.2,23.5,48.4,27.3,30.4,6.1,0.0,116.57
麗 ～うらら～,SP,ANOTHER,11,155,155,68,246,158,172,183,219,169,114,1329,0,29.4,7.5,55.1,14.5,2.2,5.3,0.0,116.03
Amazing Mirage,SP,ANOTHER,11,153,153,139,215,157,161,201,189,160,121,1343,0,25.4,15.8,38.0,19.0,14.5,15.9,1.7,112.94
Around The Galaxy,SP,ANOTHER,11,145,145,41,346,182,259,221,246,197,222,1714,0,48.5,6.9,57.7,26.5,8.7,3.2,0.0,134.89
AsiaN distractive,SP,ANOTHER,11,132,157,46,241,164,180,197,192,175,142,1337,5,17.2,36.3,30.8,8.7,16.1,3.4,0.0,110.91
BabeL ～Grand Story～,SP,ANOTHER,11,163,163,80,237,154,216,191,220,145,189,1432,0,28.7,15.3,56.0,13.4,2.7,7.2,11.5,117.46
Be A Star,SP,ANOTHER,11,174,174,58,259,163,199,176,199,169,190,1413,0,14.5,45.1,27.4,8.3,6.7,4.5,0.0,117.15
Beat Juggling Mix,SP,ANOTHER,11,66,198,259,186,79,183,92,131,92,116,1138,17,5.2,26.5,13.9,12.7,14.1,49.8,0.0,113.01
Beyond The Seven,SP,ANOTHER,11,142,142,61,230,171,197,188,177,170,181,1375,0,27.3,22.6,46.0,15.5,6.1,4.5,0.0,115.14
BREAK OVER,SP,ANOTHER,11,106,150,112,246,111,165,134,163,119,160,1210,2,22.5,8.9,39.8,21.3,21.7,15.5,0.0,127.96
BroGamer,SP,ANOTHER,11,207,207,236,280,116,194,199,209,189,145,1568,0,5.9,57.6,6.9,4.4,1.9,24.4,0.0,126.37
crew -Ryu☆ mix-,SP,ANOTHER,11,155,155,56,274,143,202,188,232,186,199,1480,0,34.6,15.4,44.3,11.6,9.4,3.7,0.0,114.58
DISAPPEAR feat. koyomin,SP,ANOTHER,11,145,145,136,241,136,207,216,215,189,157,1497,0,35.5,5.7,57.7,16.4,10.1,19.8,6.9,117.41
GuNGNiR,SP,HYPER,11,222,222,72,149,152,223,252,248,176,125,1397,0,26.0,3.5,59.6,1.0,0.6,7.1,5.1,126.48
HAPPY★RUSH,SP,ANOTHER,11,185,185,116,234,170,181,215,213,182,179,1490,0,23.9,25.9,37.0,9.1,12.2,10.4,0.0,119.35
Honey Trap,SP,ANOTHER,11,160,160,148,202,140,177,155,167,175,120,1284,0,20.1,21.0,32.2,9.0,3.8,18.0,0.0,118.5
Modular Technology,SP,ANOTHER,11,170,170,128,208,136,195,195,208,151,151,1372,0,31.5,7.7,51.6,15.7,5.7,16.9,0.0,105.61
nostos,SP,ANOTHER,11,86,144,31,213,162,189,201,207,192,164,1359,12,16.4,24.2,39.9,14.1,25.6,2.4,0.0,131.5
PAPAYAPA BASS,SP,ANOTHER,11,147,147,80,235,166,217,173,202,167,188,1428,0,29.9,26.4,35.4,13.0,5.8,6.7,0.0,119.28
RISING FIRE HAWK,SP,ANOTHER,11,157,157,87,215,157,200,137,205,179,192,1372,0,25.1,20.6,41.1,19.4,10.5,8.2,0.0,111.21
ROTTERDAM SHOGUN,SP,ANOTHER,11,199,199,130,281,137,151,171,178,105,146,1299,0,8.9,37.0,9.0,5.7,8.2,13.8,13.4,110.95
SAMURAI-Scramble,SP,ANOTHER,11,150,150,450,95,69,169,110,176,84,79,1232,0,4.4,16.0,17.0,15.5,12.9,68.7,0.0,124.8
Sarutobi Champion is 拙者,SP,ANOTHER,11,130,195,106,196,111,167,153,161,149,110,1153,2,23.4,21.8,38.5,21.2,11.2,12.5,0.0,102.0
SEQUENCE CAT,SP,ANOTHER,11,145,145,43,210,195,191,222,200,200,185,1446,0,38.3,6.7,61.7,2.7,3.7,2.9,0.0,119.17
Shoot'Em All,SP,ANOTHER,11,152,152,106,285,108,163,169,123,124,186,1264,0,22.9,13.2,42.4,6.3,8.0,10.8,0.0,134.11
(This Is Not) The Angels,SP,ANOTHER,11,33,130,75,197,195,194,162,208,185,148,1364,14,30.1,20.8,45.4,9.2,8.7,7.1,0.0,114.43
XINOBIKILL,SP,ANOTHER,11,164,164,41,243,178,197,209,237,208,162,1475,0,25.1,18.9,47.4,10.4,7.8,3.1,21.8,121.28
yamabiko (SINOBUZ Edition),SP,ANOTHER,11,154,154,81,205,129,182,209,197,175,167,1345,0,24.2,28.4,34.7,17.5,11.7,5.8,1.1,112.71
Yellow Sketch(RX-Ver.S.P.L.),SP,ANOTHER,11,176,176,39,229,202,229,223,223,186,148,1479,0,28.9,11.5,57.8,20.3,6.5,3.1,3.2,116.59
ディッシュウォッシャー◎彡おいわちゃん,SP,ANOTHER,11,210,210,100,235,168,151,138,210,134,144,1280,0,9.1,44.5,9.0,34.5,18.6,10.4,0.0,110.28
鴉,SP,ANOTHER,11,190,190,87,275,108,213,180,198,137,158,1356,0,6.4,46.2,17.8,6.5,7.2,8.0,0.0,111.15
忍恋花,SP,ANOTHER,11,189,189,48,265,98,207,113,142,127,141,1141,0,15.9,22.7,21.0,46.3,21.7,4.5,0.0,100.79
禍根,SP,ANOTHER,11,170,170,33,207,163,183,184,213,179,174,1336,0,25.6,12.5,54.7,18.3,7.1,2.5,0.0,112.94
